input_string,lewd,offensive,intent,group
Supporters of officer Darren Wilson rally in St Louis http://t.co/HtfgJJ7kYt #ferguson #kkk #tcot #tpot #teabaggers #teaparty,N,N,N,N
RT @Sexualgif: bitches are so shady... oh my god &#128514;&#128514; http://t.co/dJ3SrlwbTK,N,Y,Y,N
&#8220;@Damino96: &#8220;I&#8217;m afraid of commitment&#8221;  -A hoe&#8221;,N,Y,Y,N
RT @ispeak_sarcasms: the nigga with no future always have the most hoes..,N,Y,Y,Y
@Get__Em__Craig funky hoe you gone solo,N,Y,Y,N
tell me why nick cannon bout to invite wiz to wild'n out an hit him wit the i fucked your bitch diss haha,N,N,N,N
@J_Dun54 oh you little bitch you. You tryna hit the fair tho today or sometime this week? Shit might be fun drunk,N,Y,Y,N
"Someone tell me where the drinks at. Where the bitches at. You fucking on the first night, meet me in the back. #game",N,Y,Y,N
"RT @MindCertified: If you're a hoe, don't expect princess treatment...",N,Y,Y,N
Porch monkey 4 Life,N,N,N,N
@austin_farrar your a fucking queer faggot bitch,N,Y,Y,N
I would def call Dwight a cradle robbing faggot if I were Kobe.,N,Y,Y,N
This niggga said I be branding bitches &#128569;&#128514;&#128514;&#128514;&#128514;&#128527;,N,Y,Y,N
@rbigwood @GameOfArmsAMC of course! Win or lose you always had the most exciting matches. Spilt blood and all and you aren't a trash talker!,N,N,N,N
"I do know one thing though, bitches they come they go.",N,Y,Y,Y
That one drunk white bitch that always instigate problems involving at least one.black dude then crys afterwards when someone gets hurt,N,Y,Y,N
RT @LOHANTHONY: i'm so hungry if someone would send me a flying parachute with brownies attached to it like they do in the hunger games tha&#8230;,N,N,N,N
Guys that struggle to get pussy are the main niggas that bad talk women. He could get more pussy if he can learn how to stfu and chill,Y,Y,Y,N
Can I sit on your face &#8212; Sit on a hot stove bitch http://t.co/XPauwp43OA,N,Y,Y,N
Aint no pussy better then perk pussy,Y,Y,Y,N
@ChrisSFMori  gun sales have skyrocketed. Gun crime has fallen sharply. Any claim to the contrary is using fuzzy math.,N,N,N,N
Bad bitches is the only thing that I like,N,Y,Y,N
RT @cocainebungy: Mckean Mckean lol hate half the people there lol weird ass hoes lol corny ass food ( I still kill that shit doe ),N,Y,Y,N
"All I got for these hoes is dick, duct tape, and a stapler.",Y,Y,Y,N
RT @STARgotthatDOPE: A lot of these hoes be cheating on they nigga fucking other niggas. Y'all boys better get y'all a real bitch that ain'&#8230;,Y,Y,Y,Y
@AyDontJudgeMe Just come stop in this bitch cause im bout to get off,N,Y,Y,N
RT @Dayma_micaela: I want a baby but im young and retarded so no,N,Y,Y,N
"don't follow me and unfollow me, you are retarded",N,Y,Y,N
RT @RichgurlTira: These hoes will fake like they really f*ck with you but be hating on you lowkey,N,Y,Y,N
"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",N,N,N,N
you drove me redneck crazy,N,Y,Y,N
"""It's the dykes"" -hunter dyke with a dyke http://t.co/LGtw3AWMeh",N,N,N,N
@cdnrod And they bitch cause police showed in force.They were the only thing preventing them from getting turned in2 road kill #I70Shutdown,N,Y,Y,N
"Know that karma's TOO REAL, hope you doin' cool.. But still stupid ass bitch, I ain't fuckin' with yoooou.",N,Y,Y,N
WATCH: Excited ISIS Jihadis Getting Their Yezidi Sex Slaves On 'Distribution Day' http://t.co/n9ExnuVhKs #ISIS #tcot #pjnet #lnyhbt #gop,N,N,N,N
"RT @KingTeej_: Thats when you say ""this bitch aint got no job"" #mlrt",N,Y,Y,N
RT @TuhhNaeee_x33: Meat Forevea selling a bitch out &#128514;&#128514;&#128514;&#128514;&#128553;,N,Y,Y,N
"*goes to olive garden* *Turns into a cracker* ""@gIacier: *goes black friday shopping*  *turns into a nigger*""",N,Y,Y,Y
@eburnns oh wow the bitch is bitching again #niggasuprized,N,Y,Y,N
As soon as a Democrat gets a chance to? the political hack #foxnews goes to commercial then back with Bolton LMAO #teabaggers #benghazi,N,N,N,N
I feel like apart of the in crowd like yes bitch lets indirectly talk shit &#128514;,N,N,N,N
"Just to get u mad go on your search bar on here and search up ""stupid niggers"" &amp; hop on somebodys head then mention me lol @stonethegreat23",N,Y,Y,N
RT @TimoPleasant: This grown on your own shit is for the birds. &#128530;,N,Y,Y,N
"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",N,N,N,N
Why did you release my nudes you cunt...? @sickgirl12345 http://t.co/Nn4OdiZR8l,Y,Y,Y,N
"@hotzgeor Kept the border open to disease from Central America, lowest workforce part. % since Carter, yep, a real boon to NC.@ThomTillis",N,N,N,N
&#8220;@FreeBlizz_ICBC: If I posted pics of everything I do in my life yall hoes would fall in love!&#8221;don't kill em Channing,N,Y,Y,N
Both trash but I guess they got tired of Chalmers trash starting RT @EverybodyHatesX: How chalmers lose his job to Norris Cole? Lmfaoooo,N,Y,Y,N
"@jdickerson @ScottPelley @bobschieffer all racist nTx trash w @NorahODonnell all hate to see this particular man in WH n not the ""Butler""",N,Y,Y,N
Pulling hoes ain't something to be proud of hoes go with anybody &#9995;,N,Y,Y,N
@SusanneWhite they're so goooood. I just want like a savoury salty cheesy cracker,N,N,N,N
@BreezyPetey at least he went up and wasn't a bitch,N,Y,Y,N
RT @HG_Shit: @1BookieG I just fucked yo bitch bruh.. I tried not to tho,Y,Y,Y,N
"Dad just yelled out ""in bout to fry some chicken like a nigger""",N,Y,Y,Y
@Stvtch_ @IAMBJRAPS @cheffin_curry @GirlTimeUSA @LILBTHEBASEDGOD bitch you look like a shamu go back to seaword,N,Y,Y,N
Rusty hoe to bumpin 2 me #NeedDaName http://t.co/DwAEjyUbQr,N,Y,Y,N
RT @greco_joel: Me: let's try a 2nd attempt of my first day of work The cold: haha yeah right I fucked your car and your bitch,N,Y,Y,N
Black bitches be boisterous belligerent buffaloes!   #AlliterationTuesday&#160; #Damnismartallofasudden,N,Y,Y,N
@showtimemajed @mauroranallo @joerogan Either trolling or retarded.,N,Y,Y,N
Tell these hoes I love them just to fuck em,Y,Y,Y,N
RT @CherryBby_xoxo: If this bitch don't just go through the freaking packet &#128530;,N,Y,Y,N
"RT @I_Be_kOoLz: Leave ya kids unattended cause u wanna ""Turn up"" I hate u fertile hoes",N,Y,Y,N
@BraveConWarrior She is a bitch! This mess is all BO's fault! ALL OF IT!,N,Y,Y,N
@sweetlou462 thanks Hun. &lt;3 I'm so crushed. I love working out. It'll be 2months gone by the time I go back. :/,N,N,N,N
RT @MileyCyrus: i know what color my skin is. you can stop with the friendly reminders bitch.,N,Y,Y,N
&#8220;@Yankees: #Yankees and Red Sox are scoreless as we play in the 2nd inning.&#8221; THE BAMBINO IS WATCHING!,N,N,N,N
@MissJia sup nappy headed hoe you got quiet,N,Y,Y,N
RT @_WhitePonyJr_: @Eric_Mariners @JC_1221 peace out then faggot http://t.co/qSGyCVcvaP,N,Y,Y,N
"I'll be a bitch if I have to. I don't like to be, but f*ck with me and it'll happen.",N,Y,Y,N
i need some claritin clear in this bitch,N,Y,Y,N
All of my bitches know they temporary,N,Y,Y,N
RT @CHlLDHOODRUINER: taking out the trash at night http://t.co/UhXTOgP4jZ,N,Y,Y,N
I like bad bitches cause they like bad bitches too,N,Y,Y,N
First the white bitch wanna ask extra questions &amp; shit... &amp; be a lil bitch about everything with her skinny ass!,N,Y,Y,N
Niggas wear wigs more than bitches these days.,N,Y,Y,Y
RT @TreySongzSon: I'm in yo hood I'll prolly fuck yo hoe,Y,Y,Y,N
@lkxox_ bitch*,N,Y,Y,N
RT @YoungGizzle_: You bitches selfish.. Y'all want Father's Day too? Damn lol,N,Y,Y,N
@RicHieDev_ @CONVERSES_ON she can stay as close as she pleases nigguh,N,Y,Y,N
f u tumblr bc my blog is black &amp; white but there's so many great colored things I could reblog fml,N,N,N,N
U wanna piss a hoe off when u in the club &amp; she in front U Tryna dance for u do what I'm doing right now Tweet,N,Y,Y,N
""" quick piece of pussy call it a drive by """,Y,Y,Y,N
"I got so many horses, all the hoes say that its gorgeous...   In tha air dats where my doors issssss",N,N,N,N
I'm so glad I don't wake up lookin like one those Medusa lookin bitches,N,N,N,N
@KaylahPrettyMom lmao girlllaaaa I don't like em chunky anymore.&#128514;&#128514;&#128514;&#128514;&#128567;,N,N,N,N
I'm flexin on these bitches all gold bottles no Bombay,N,Y,Y,N
i think if my girlfriend were to get locked up shed be the first one raped. #pussy,Y,Y,Y,N
@kieffer_jason wtf u think u ole pussy ass nigga,Y,Y,Y,N
RT @willyroast2: yo girl pussy stank @SoloExMachina This tweet stinks RT @willyroast2: There is no suck thing as a faithful bitch in Washin&#8230;,Y,Y,Y,N
#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,N,N,N,N
@WebAntOnYT btw Jim crow laws were supported by democrats not republicans and MLK was a republican #Fact,N,N,N,N
RT @Based_Unicorns: Fat bitch act like she couldn't follow back. I've always wanted a fat bitch to follow me.,N,Y,Y,N
&#8220;@__thaRealist: Lil bitty bitch&#8221; &#128079;&#128079;&#128079;&#128079;&#128079;lingo,N,Y,Y,N
&#8220;@koleworld4: @what_evaittakes lmaooo nooo hoe&#8221;oh ok&#128533;,N,Y,Y,N
RT @maycie32: @Whitecholo23 ya by being your bitch;),N,Y,Y,N
RT @MooreHnter: How to get bitches http://t.co/yUOqmgHvbf,N,Y,Y,N
"RT @DanBilzerian: My boy is obviously gonna be slaying all the pussy tonight, dressed as a ninja turtle http://t.co/su2HNFq6S8",Y,Y,Y,N
@TheRevAl you are not a cat.you are a pussy! black bored kid kills a cop by starting a fire.WHERE IS THE OUTRAGE YOU PHONY?!?!?!? @FNTheFive,N,Y,Y,N
@Willstreakk @Tycff10111 by trash I meant u lmaooo,N,Y,Y,N
I beat that pussy up up up up,Y,Y,Y,N
LMAO Joe was calling whitehouse offering advice. Yeah the President cares what a disgraced FORMER redneck House guy from fl says #morningjoe,N,Y,Y,N
don't try to be nice to me after you were being a bitch,N,Y,Y,N
Pussy ass nigguh name Jesus. And his daddy,Y,Y,Y,N
One thing u can't get me to do is trust a bitch,N,Y,Y,N
@Straatvogels [street birds]: Homeless People Twittering in Amsterdam http://t.co/WruoCdVkJt via @HuffPostImpact &#8853;http://t.co/DJgs6rGdfV,N,N,N,N
Just unfollowed another crazy bitch. Whos next? lol,N,Y,Y,N
I won't say how many bitches I fucked but i might say how many 100s I touched &#128178;&#128178;&#128178;,Y,Y,Y,N
Damn who knew this whole time that I was the angry negro dude? http://t.co/sp5zRUFvkL,N,Y,Y,N
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/saWpjDtIGN,N,N,N,N
Monopoly is fucking stupid fuck that dumb ass game bitch ass shit,N,Y,Y,N
omg that bitch sang uninvited? ugh :-( RT @AlanisNews: Setlist #mainestatepier http://t.co/tD3Bi3Ev2G,N,Y,Y,N
niggas w/ bitch mentalities is a no go.,N,Y,Y,N
Bought these bitches breakfast and now getting kissed on my cheeks non stop...lol. Check out is literally in 5 mins tho,N,N,N,N
"People talk shit on Twitter but when they see you in person be looking. Like bitch wtf you looking at. Yes its me, yeah I'm cute..",N,Y,Y,N
RT @UnnagroundKing: RT @JoshHelaku: I don't care who Kendrick made that song for it's still trash,N,Y,Y,N
But not prettier than Amber's. RT @YumiYoko: Her pussy is pretty,Y,Y,Y,N
@Bitterchick  Dare be only one bag dat folks be suckin on what I comes to yo partayyyy! All da ofay be wantin to ride in my eldorato,N,N,N,N
I have one more day of fucking school. God nansemond is fucking retarded,N,Y,Y,N
"Man, I'm wish big booty bytches would use some other nickname other than Judy... Shy is so typical and old..",N,Y,Y,N
"Without serge, the bird chirps. The sun burns, the grass grows, the world turns. The moon glows, the river flows. But I die without serge.",N,N,N,N
RT @caseytu88662466: Play pussy get fucked,Y,Y,Y,N
@maddieevaans @felicity182 idk what ur saying probably desperate for my pussy,Y,Y,Y,N
I like taking niggas hoes but I stop doing that &#9995;,N,Y,Y,N
I got 7 A's &amp; a B on my progress report &amp; I still be touchin Bands &#128514;&#128557; bitch get like me &#128527;&#128175;,N,N,N,N
RT @austdun: bitch we them boys,N,Y,Y,N
Find her ass and push her down some stairs by accident. Throw some water on the floor. Shit. Kick a bitch.,N,Y,Y,N
RT @thtsher__: if ya bitch mad tell ha I'll put ha own &#128176;,N,Y,Y,N
@Abels_Masochist you're not ghetto tho. You can live in the hood and not be ghetto #facts,N,Y,Y,N
I Fucken can't stand little cunts that write a damn Essay on how the feel about something on Facebook. #gross,N,Y,Y,N
@jstewcoolcat fag lol,N,Y,Y,N
&#8220;@ImaPlainJane: @SimplySoulful because I thought Jay Z would hit her&#8221; yeah he is known for sockin a bitch or 2,N,Y,Y,N
Ya kno nigga got two accounts...&#128586; RT @i_EaT_PIE: When the lil bitch start Tweetin... She'll see these tweets or someone will snitch,N,Y,Y,N
@WorIdStarFvnny @alysssa_3 bitch please http://t.co/2QysCT5INk,N,Y,Y,N
I haven't been called ugly once my whole life tho RT @ayylmaoanod: guys who refer to women as bitches are so ugly to me lmao u disgust me,N,Y,Y,N
bunch of pussies,N,Y,Y,N
@Neeksbethatguy I'm already out that bitch hahaha,N,Y,Y,N
"Fuckkkkk!!! My nig a g tho, he gonna come back",N,Y,Y,N
Amina ass... Peter you just fucking the bitch I don't like her voice,N,Y,Y,N
Josh you're a hoe &#128514;&#128514;&#128514;&#128557;&#128557;&#128557;,N,Y,Y,N
RT @Sneakbo: Man like @Stormzy1 doing Hella things &#128175;&#128175;&#128175;&#128588; I gotta take my hat off to that nig!,N,Y,Y,N
When hoes think I got sucker nigga written across my forehead...,Y,Y,Y,N
Swap meet bound #beaner,N,N,N,N
Awwwwww they no Kaep ain't rape no bitch!!!!,Y,Y,Y,N
@hand_tex @drapermark37 humans are evil man. Cutting tusks of these beautiful animals so chinks think the get a hard on.,N,Y,Y,N
RT @__J_R: Smh nigga is mildly retarded RT @Thotcho: LMFAO RT @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1,N,Y,Y,N
@Yankees isn't that kind of saying the #Braves won't make it to the World Series? LOL,N,N,N,N
http://t.co/74uLxaf &lt;--this bitch @vewxyz,N,Y,Y,N
Oscar &amp; I used to make fun of Chaco-wearing people together but now that they're on sale for 1/2 off this lil bitch wants some #FAKE,N,N,N,N
"@sexy_rexy25 98 civic lx ""stick"" green with shitty paint on some beaner ass wheels with 180k miles no AC and no insurance how's that?",N,N,N,N
"He ain't shit girl, &#128175;he a bitch made nigga!",N,Y,Y,N
Oh you one of those stuck up bitches &#128514;,N,Y,Y,N
"RT @LorenaSGonzalez: I am a California State Assemblywoman, but remain a proud @Teamsters #unionmember -- celebrating #LaborDay weekend ho&#8230;",N,N,N,N
Sick of your coon antics RT @POONsoaker: Accuracy RT @Thotcho: &#8220;Henny &gt; water&#8221; &#128128;&#128128;&#128128;,N,Y,Y,N
@saucygyro that was back when nigger music was decent,N,Y,Y,Y
RT @Doprettyshiz_: This bitch just blew my high &#128564; and I was high off all of these drugs &#128138;,N,Y,Y,N
"@DionPrimo The soul has departed from the train.There's no more soul in music.Just hunger for bitches,money and fame.",N,N,N,N
Oh I'm nasty for smoking cigarettes? And you're nasty for not washing behind your ears everyday stupid little bitch,N,Y,Y,N
Stupid white people making my posts relevant to they own life #stupid #cousintoucher #honkie #whitetrash #blonde,N,Y,Y,N
This bitch looks like a tranny tho.,N,Y,Y,N
"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers.",Y,Y,Y,N
@percolate @kcraigwell what's next? fingers in dykes?,N,Y,Y,N
Y&#8217;all saying you wouldn&#8217;t eat her pussy? More for me,Y,Y,Y,N
RT @jackiengvyen: All talk blahblah bye bitch,N,Y,Y,N
Lmaoooooooo! RT @HeauxmerSimpson D'Angelo prolly nice as shit at Madden now. Lmao. Fat bitch.,N,Y,Y,N
@Tristine214 I swear des hoes just making up challenges now,N,N,N,N
"why tf is this bitch in my class wearing all brewers shit it's football season,,,,",N,Y,Y,N
"Indiana niggah you can tell from ma muhhfuckin grammar, I swear I got 3 hoes with me just like I'm Santa &#1041204;&#1043359;.",N,Y,Y,N
@tayisbae @stilIgucci @spxrklybubbles what she means is shes a fat bitch,N,Y,Y,N
"@tdwp327 practically anything that&#8217;s colored red often contain red pigments extracted from the female coccus costa, or cochineal insect.",N,N,N,N
@Maxwell_Larsen good bitch &#128527;,N,Y,Y,N
"Get here! MT @NevadaPR: #Sierra #skiers, @VirginiaCity offers a fun break from the slopes. Sweet #deal: http://t.co/otJ5Uxqbna #TravelNevada",N,N,N,N
With the birds i share this lonely view..,N,N,N,N
"RT @robdelaney: I put my pants on one leg at a time, just like you guys. But then I eat a plus-size model&#8217;s pussy in my helicopter.",Y,Y,Y,N
@Hype I'm not delivering to that bitch boy anymore.,N,Y,Y,N
I found your arm in that trash receptacle and your leg in the mud down by that stream.You should consider keeping better track of your limbs,N,Y,Y,N
"@BlackManUSA You're killin' me man! &lt;3 Not all conservatives are racists, just like not all NBP hate honkies.",N,Y,Y,N
RT @TheChrisCates: Look at this faggot http://t.co/db7SIri8qg,N,Y,Y,N
RT @DariusJulion: that movie was trash,N,Y,Y,N
4th and long bitches,N,N,N,N
Momma always told me I was crazy and the hoes say I'm amazing but I don't listen to a lady,N,Y,Y,Y
@RniSwirvinn @LilKev_J no ur wrong stupid nigger,N,Y,Y,N
"Her excuse is ""when I die u can have all my gold."" I don't even like yellow gold anymore. I gave her all of mine.",N,Y,Y,N
@blakeshelton I'm coming for you bitch boy!!! http://t.co/yASXoqnLEA,N,Y,Y,N
@TheIslamHeretic @WarMachine_83 @BasimaFaysal @MariamVeiszadeh cause it would their tip hand instead they whine like little bitches=&gt;,N,Y,Y,N
&#8220;@_BeautifulKeezy: im so winning. &#128525;&#128525;&#128525; http://t.co/Jf6U54CMW3&#8221;&#128514;&#128514;&#128514; bitch,N,N,N,N
Longway bitch,N,Y,Y,N
"when Em said ""I'm on my straight grizzly, so why would I buy you a gay ass teddy bear bitch youre already bi-polar."" http://t.co/FQquXTxHBo",N,Y,Y,N
"I hate when people tell me I have to many tattoos, and they make me look ugly. Like bitch fuck you",N,Y,Y,N
RT @bayleebork: @rahshauna keep your avi hoe,N,Y,Y,N
I be chillin wit the bitches cuz a lotta niccas fake,N,Y,Y,N
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,N,N,N,N
"RT @iowahawkblog: Whatta co-inky-dink: IRS cancelled contract with email backup company right after Lerner's computer ""crash"" http://t.co/Z&#8230;",N,N,N,N
@PrinceGreenJr why hold back? Just say they're as retarded as their tits are fake there's no in between...,N,Y,Y,N
RT @ImTooMuch: Trent Richardson so trash,N,Y,Y,N
@KenSuttling Not taking Franks advice and he ate the yellow snow.,N,N,N,N
That was almost 10 years ago. I gave ALL them bitches away... or they were stolen...,N,Y,Y,N
"Say what you want about @MileyCyrus, but that bitch has pipes!",N,Y,Y,N
Thank you Charlie @Charlie4927 @StacyDmomof5 @cantUCIMblonde @RevkahJC @PattiSM74 @Kacado,N,N,N,N
RT @MyFriendsRap: You hoes need to stop dressing y'all kids as Migos and Rappers that y'all fucked. Lil nigga just wanted to be a power ran&#8230;,N,Y,Y,N
I'll live my life the way I want bitch,N,Y,Y,N
"RT @brownandbella: YASSSSSSSSSSSSSS!!!! RT @DearLeader10: Nothing wrong with Black girls having high dick standards, our pussy bomb nigga!",Y,Y,Y,N
"I been slackin on the ice game i needa cop a watch, so i can fuck me a instagram hoe &amp; press Block",Y,Y,Y,N
I'm bringing booty back. Go ahead and tell them skinny bitches that.,N,Y,Y,N
&#8220;@koleworld4: this bitch tried the wrong one &#128514;&#128553; it'll all go down hill from now &#128536;&#8221;&#128064;,N,Y,Y,N
Everyone staring at me like whats this bitch doing here &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;,N,Y,Y,N
RT @_DalvinA: &#8220;@Can_iGet_8: I can't stand no messy hoe&#8221;1&#8419;0&#8419;0&#8419;0&#8419; true story,N,Y,Y,N
U of A hoes w/ the booties hangin out,Y,Y,Y,N
"Not trying to follow any spooks, no offense...",N,N,N,N
&#8220;@Kash_Stackz: Yall are so confused these days. http://t.co/l2ipE6UvQh&#8221; somebody put that hoe in a dress,N,Y,Y,N
@YunGMiGo I said pussy dat ass what be on yo tongue boy,Y,Y,Y,N
I dont think ive ever seen a fight on the real world. I mean a word fight yeah. tons of times. but damn! that bitch swung,N,Y,Y,N
@The1DScoop Im omy to the movie right now and I'm literally gonna slap a bitch if they scream or some shit.,N,Y,Y,N
"I'm so tired of this damn job man, I wanna blow this bitch up lol",N,Y,Y,N
Is Moyles a retard lol? Starting Fellani instead ae RVP? Please come back Fergie #SirAlexFerguson #ManchesterUnited #ManchesterDerby #MUFC,N,Y,Y,N
"Only word I can understand on #BlackJesus is ""nigger""... Heavily disappointed in this show. AaronMacgruder stuff blows, IMO.",N,Y,Y,N
Why the fuck are the @Yankees throwing batting practice tonight? Holy shit...,N,N,N,N
That boy has always been a pussy never been a threat!,Y,Y,Y,N
"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;""@AlisaRenee: you a faggot if you eat pork chops.""",N,Y,Y,N
"My job some hoes, how you gonna call at 7:34 talking bout come to work at 8 &#128530; ummm no I'm staying in bed.",N,Y,Y,N
@oak_log check yer phone nigger,N,Y,Y,Y
Fly as a bitch on Aladdin rug,N,Y,Y,N
"Cheating isnt about good women and hoes.. Simply about an alternate nut.. RT @whoelsebutkey: Niggas cheat on good women everyday, B.",Y,Y,Y,Y
@Julian_jval I totally think the something when bitches come across mine saying we are similar. Uh no &#9995;,N,N,N,N
@Yes_THAT_KiKi hey send me your songs I need to put them hoes on a CD and bang em when I ride around,N,Y,Y,N
270 on flappy bird suck my dick and lick my balls #swag,Y,Y,Y,N
@Viri_BraceFacee no problem my niggah &#128076;,N,N,N,N
&#8220;@dirtyxluxury: @_Vontethekidd whens homecoming ho?&#8221;&#128553;&#128514; slut the 17th,Y,Y,Y,N
RT @BrosConfessions: Charlie Sheen is a legend #ForTheBros http://t.co/nbYjumIkQA,N,N,N,N
Deez niggas pussy so fuck em deez niggas ass so buss em,Y,Y,Y,N
I dont got no type... Bad bitches is the only thang that i like! You aint got no life.. Cups with the ice and we do this every night!&#127926;,N,N,N,N
RT @HoskinsTy96: @Vontey_isa_boss &#128514;&#128514;&#128514; ghetto ass mofos,N,Y,Y,N
"@NaiEpolag you may not like my stance on cops, but i didn't (and would not) call you a cunt. please stop copying me on these tweets.",N,Y,Y,N
@broneadams yo bitch stay lookin like a clown,N,Y,Y,N
@_Andsss cool cool fuck wit u too nicca,N,N,N,N
Bowling Green's campus looks old as fuck. Like state penitentiary old. But they do have a lot of bitches so I guess that counts for a lot,N,N,N,N
RT @DevyDevBlack: Yung Berg trying to fuck all these hoes.,Y,Y,Y,N
International law enforcement operation disrupts Shylock banking malware - PCWorld: International law enforcem... http://t.co/XEzf7Cj5qT,N,N,N,N
"Don't dance, Iggy. It's trash just like your music.",N,Y,Y,N
The city used to have HOES.Now them bitches look sick.,N,Y,Y,Y
RT @WorIdstarrrr: These 5th grade hoes ain't loyal http://t.co/ew029ozXVG,N,Y,Y,N
RT @YoungRecklesss_: Ain't no money or no hoe in the world can spoil it &#128175; #MyBrothersKeeper,N,Y,Y,N
RT @billmanoussakis: Sinclair hoes don't care how fat they are. They all still wear yoga pants and belly shirts....,N,Y,Y,N
RT @charlieecai: Our taxi driver is fucking retarded.. He doesn't know how to get from grapevine to lewisville,N,Y,Y,N
My dad is a bitch.,N,Y,Y,N
Fuck around and get your honeybun took in that bitch with all that crying nigga!!,N,Y,Y,N
@ballzahoy cowboy killers.&#128525;,N,N,N,N
"If your a nigga... And you use the term "" yassssssssss "" im just gonna assume your a fag",N,Y,Y,N
"They wouldn't let me use my old picture cause my hair was flawless&#128129;. The woman at the front desk said I wouldn't have to retake, hatin' hoes",N,N,N,N
Dis bitch blowin me man fuck u,Y,Y,Y,N
"AMERICAN GOVERNMENT PREACHES ""NO BULLYING"" Creating a new generation of pussies! http://t.co/fbGuCK7Wc1&#8221;",N,Y,Y,N
"RT @snoleezey801: @uce_INA poly ratchets.. Can't stand poly bitches in general &#128514; they loud, annoying, and they talk too much..",N,Y,Y,N
RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!,N,Y,Y,N
I dare a bitch to key my truck &#128530;&#128298;,N,Y,Y,N
&#8220;@ComedianSpank: Where the hoes at&#8221; shit u got em,N,Y,Y,N
I love floating monkey heads as much as the next person but Active Surplus' website is just redonkulus. http://www.activesurplus.com/,N,N,N,N
RT @TheLittleFella_: How's it taste mothafucker? Mmmhmmm bitch!,N,Y,Y,N
Cant handle this bitch and her elbow fat,N,Y,Y,N
"@YouTalk_ILive I'm crazy, and Wayne can rap about pussy 3 songs in a row",Y,Y,Y,N
White people always gave yellow ass teeth,N,Y,Y,N
RT @EMAdair225: Illegals bringing diseases across border. Contagious patients separated from others by yellow tape... pregnant teens http:/&#8230;,N,Y,Y,N
Flabby bird sounds Turrible. Lol. I'll just stick to watching paint dry...,N,Y,Y,N
These hoes don't get me in my feelings one bit.,N,Y,Y,N
You like where the hell is yo bitch meanwhile yo bitch like where the hell is yo clique #ayeeeee,N,Y,Y,N
RT @Pacino718: RT @Crucifixio: &#128077; &#8220;Fuck the skinny bitches in the club!&#8221; - @NICKIMINAJ #ANACONDA http://t.co/HqigE3CqNa,N,Y,Y,N
RT @HOOLIGANS_ISSUE: @Aj_Swagggg fucking faggots. They thirsty for eachother. They probably fuck behind redemption,Y,Y,Y,N
&#8220;@Chhicoo: @VSamone stupid bitch!&#8221; http://t.co/K7MyvFlWFg,N,Y,Y,N
&#8220;@ResiDinero: Hate driving in the rain. -_-&#8221; you can drive deez nuts in your botch mouth hoe,N,Y,Y,N
I got yo bitch dick whipped,Y,Y,Y,N
"I'm starting to not like meek, this nig a lil to arrogant for me",N,Y,Y,N
I must be a bitch,N,Y,Y,N
My nephew albino albinos have astigmatisms eye spasms partial blindness its not their faults,N,N,N,N
@YoungRecklesss_ the fuck das wat bitches wit uh fuckd up mouf do &#128514;&#128514;,N,Y,Y,N
You a world class hoe,N,Y,Y,N
Dont ever really talk about your intentions to your boy that nigga might just turn around and take that pussy,Y,Y,Y,N
RT @woohdakidd_74: &#8220;@Shane_A1: I did use to buy 2 tees n wear both dem bitches at the same time&#8221;lame ass lol,N,N,N,N
Pulled up on this coco ratchet on my way home &#128514;&#128557; @@kayysavage yes bitch,N,N,N,N
"i find it funny when fags write ""looking for bf"" on a grindr ap. LOL thats a fucking ap dumbass.",N,Y,Y,N
RT @cassidy_kelsey: Now you just reminded me why I hate you. #bitch #cantstandyou,N,Y,Y,N
"All you pussies is losers, all my niggas is winnin",N,Y,Y,N
Hate that bitch RT @NYSAnimal Ray Donovan's wife is pissing me off,N,Y,Y,N
"RT @CheefPolo: Niggas be like ""I get 3 times the pussy you get"" jokes on you fam 3 times 0 is zero",Y,Y,Y,N
RT @BitchNiggaAlexx: Bitches be talking about they ride or die with every nigga they talk to. bitch you done died like 8 times already,N,Y,Y,N
And I'm steady tellin dis bitch gtfo my face,N,Y,Y,N
RT @CheyenneWright_: @villasenor_30 it means you're a faggot lol,N,Y,Y,N
RT @NewYorkologist: Autographed Photo of Babe Ruth and Lou Gehrig - New York Yankees 1928 | #NYC #NY #NYY http://t.co/mm2niIGP9X,N,N,N,N
Catch this jet hoe,N,Y,Y,N
someones clearly a stinky ass beaner...,N,Y,Y,N
@GrizzboAdams ight nigga haha fucking queer has to clear his schedule,N,Y,Y,N
